iteration,residual,normalized_residual,solution_change
106,3230766070.81,0.173421977652,0.0046677529307
107,3210255450.05,0.172321002732,0.00467521517489
108,3186385806.98,0.17103972126,0.00468149833289
109,3159309069.39,0.169586288459,0.00468361140202
110,3129201327.34,0.16797015654,0.00468112267945
111,3096259796.79,0.166201911718,0.00467403621971
112,3106015825.23,0.166725598581,0.00466238396627
113,3114743970.18,0.167194110421,0.00464622591884
114,3120337153.17,0.167494342884,0.00462564976792
115,3122278196.88,0.167598534779,0.0046016050899
116,3121136415.51,0.167537245915,0.004573455098
117,3116899692.61,0.167309825901,0.00454058174323
118,3109602770.47,0.166918139645,0.00450408171452
119,3099297702.26,0.16636498127,0.004464156505
120,3086058244.8,0.165654309917,0.00445602912293
121,3069977932.99,0.164791146378,0.00446577548195
122,3051168650.49,0.163781496376,0.00447224979185
123,3029758791.25,0.162632251878,0.00447696024494
124,3005891198.07,0.161351080441,0.00447756921551
125,2979720906.87,0.159946304126,0.00447410356528
126,2968228818.18,0.159329428529,0.00446661153375
127,2976274394.07,0.159761301234,0.00445509089057
128,2981704871.74,0.160052799955,0.00443967894914
129,2984179356.45,0.160185626047,0.00442214444345
130,2985019134.68,0.160230703901,0.0044012740045
131,2983234353.34,0.160134899902,0.00437662554521
132,2978853816.79,0.159899760218,0.00434799468787
133,2971933373.46,0.159528282698,0.00431722870515
